SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,F      A - F,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,X    TOTAL,dd,ee,ff,gg,INSTRUCTOR,ii,jj,kk
PHEO-600-600,,,13,,,6,,1,,1,,,0,,21,,,3.476,,0,,,False,,False,,False,,,False,,21,,BENDEN M,,
,,,0.619,,,0.2857,,0.0476,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,13,,,6,,1,,1,,,0,,21,,,3.476,,0,,,False,,False,,False,,,False,,21,,,,
,,,0.619,,,0.2857,,0.0476,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-610-600,,,20,,,1,,0,,0,,,0,,21,,,3.952,,2,,,False,,False,,False,,,False,,23,,CIZMAS L,,
,,,0.9524,,,0.0476,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,20,,,1,,0,,0,,,0,,21,,,3.952,,2,,,False,,False,,False,,,False,,23,,,,
,,,0.9524,,,0.0476,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-612-600,,,6,,,1,,0,,0,,,0,,7,,,3.857,,0,,,False,,False,,False,,,False,,7,,CARRILLO G,,
,,,0.8571,,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,6,,,1,,0,,0,,,0,,7,,,3.857,,0,,,False,,False,,False,,,False,,7,,,,
,,,0.8571,,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-615-600,,,28,,,0,,0,,0,,,0,,28,,,4.0,,0,,,False,,False,,False,,,False,,28,,MCDONALD T,,
,,,1.0,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,28,,,0,,0,,0,,,0,,28,,,4.0,,0,,,False,,False,,False,,,False,,28,,,,
,,,1.0,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-640-600,,,1,,,8,,2,,0,,,0,,11,,,2.909,,0,,,False,,False,,False,,,False,,11,,PICKENS A,,
,,,0.0909,,,0.7273,,0.1818,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,1,,,8,,2,,0,,,0,,11,,,2.909,,0,,,False,,False,,False,,,False,,11,,,,
,,,0.0909,,,0.7273,,0.1818,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-645-600,,,11,,,3,,1,,0,,,0,,15,,,3.666,,0,,,False,,False,,False,,,False,,15,,BENDEN M,,
,,,0.7333,,,0.2,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,11,,,3,,1,,0,,,0,,15,,,3.666,,0,,,False,,False,,False,,,False,,15,,,,
,,,0.7333,,,0.2,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
