,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AGCJ-305-700,10,1,3,0,0,14,3.5,0,0,0,0,0,14,WALTHER D
,71.43%,7.14%,21.43%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,1,3,0,0,14,3.5,0,0,0,0,0,14,
,71.43%,7.14%,21.43%,0.00%,0.00%,,,,,,,,,
AGCJ-307-300,10,3,0,0,3,16,3.062,0,0,0,4,0,20,NORRIS S
,62.50%,18.75%,0.00%,0.00%,18.75%,,,,,,,,,
COURSE TOTAL:,10,3,0,0,3,16,3.062,0,0,0,4,0,20,
,62.50%,18.75%,0.00%,0.00%,18.75%,,,,,,,,,
AGCJ-313-900,7,14,2,0,0,23,3.217,0,0,0,0,0,23,DUNSFORD D
,30.43%,60.87%,8.70%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,14,2,0,0,23,3.217,0,0,0,0,0,23,
,30.43%,60.87%,8.70%,0.00%,0.00%,,,,,,,,,
AGCJ-314-900,5,4,4,0,1,14,2.857,1,0,0,0,0,15,DUNSFORD D
,35.71%,28.57%,28.57%,0.00%,7.14%,,,,,,,,,
COURSE TOTAL:,5,4,4,0,1,14,2.857,1,0,0,0,0,15,
,35.71%,28.57%,28.57%,0.00%,7.14%,,,,,,,,,
AGCJ-411-300,6,4,3,0,1,14,3,0,0,0,2,0,16,MCKIM B
,42.86%,28.57%,21.43%,0.00%,7.14%,,,,,,,,,
COURSE TOTAL:,6,4,3,0,1,14,3,0,0,0,2,0,16,
,42.86%,28.57%,21.43%,0.00%,7.14%,,,,,,,,,
AGCJ-413-300,10,2,0,0,0,12,3.833,0,0,0,1,0,13,ROBERTS L
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,2,0,0,0,12,3.833,0,0,0,1,0,13,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
