,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,INTERNATIONAL AFFAIRS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
INTA-603-700,5,1,0,1,0,7,3.428,0,0,0,0,0,7,RUSSELL R
,71.43%,14.29%,0.00%,14.29%,0.00%,,,,,,,,,
COURSE TOTAL:,5,1,0,1,0,7,3.428,0,0,0,0,0,7,
,71.43%,14.29%,0.00%,14.29%,0.00%,,,,,,,,,
INTA-605-700,4,2,0,0,0,6,3.666,0,0,0,0,0,6,TALBOT B
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-617-100,10,0,0,0,0,10,4,2,0,0,0,0,12,CASTILLO J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,0,0,0,0,10,4,2,0,0,0,0,12,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-651-700,10,4,0,0,1,15,3.466,0,0,0,0,0,15,RUSSELL R
,66.67%,26.67%,0.00%,0.00%,6.67%,,,,,,,,,
COURSE TOTAL:,10,4,0,0,1,15,3.466,0,0,0,0,0,15,
,66.67%,26.67%,0.00%,0.00%,6.67%,,,,,,,,,
INTA-680-700,4,3,0,0,1,8,3.125,0,0,0,0,0,8,SMITH J
,50.00%,37.50%,0.00%,0.00%,12.50%,,,,,,,,,
COURSE TOTAL:,4,3,0,0,1,8,3.125,0,0,0,0,0,8,
,50.00%,37.50%,0.00%,0.00%,12.50%,,,,,,,,,
INTA-689-100,8,1,0,0,0,9,3.888,0,0,0,0,0,9,MCLAUGHLIN J
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-689-700,3,2,0,0,0,5,3.6,0,0,0,0,0,5,HAMIE C
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,INTERNATIONAL AFFAIRS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,11,3,0,0,0,14,3.785,0,0,0,0,0,14,
,78.57%,21.43%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,44,13,0,1,2,60,3.6,2,0,0,0,0,62,
,73.33%,21.67%,0.00%,1.67%,3.33%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,PUBLIC SERVICE &ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
PSAA-601-700,16,4,0,0,0,20,3.8,0,0,0,0,0,20,SMITH S
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-601-701,17,1,0,0,0,18,3.944,1,0,0,0,0,19,GRAHAM C
,94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,33,5,0,0,0,38,3.868,1,0,0,0,0,39,
,86.84%,13.16%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-616-700,12,0,0,0,0,12,4,1,0,0,0,0,13,ASHLEY F
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4,1,0,0,0,0,13,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-620-700,11,0,0,0,0,11,4,0,0,0,0,0,11,MILESKI J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
