,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,CENTER FOR ACAD ENHANCEMENT,,,,,,,,,,,,,
DEPARTMENT:,TASP/TSI ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
STLC-101-501,15,6,0,2,1,24,3.333,1,0,0,1,0,26,BROOKINS B
,62.50%,25.00%,0.00%,8.33%,4.17%,,,,,,,,,
STLC-101-502,10,11,1,0,1,23,3.26,0,0,0,2,0,25,BROOKINS B
,43.48%,47.83%,4.35%,0.00%,4.35%,,,,,,,,,
STLC-101-503,24,3,0,0,0,27,3.888,0,0,0,0,0,27,SPEED K
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
STLC-101-504,28,1,0,0,0,29,3.965,0,0,0,0,0,29,SPEED K
,96.55%,3.45%,0.00%,0.00%,0.00%,,,,,,,,,
STLC-101-505,15,10,4,0,0,29,3.379,0,0,0,1,0,30,BROOKINS B
,51.72%,34.48%,13.79%,0.00%,0.00%,,,,,,,,,
STLC-101-506,24,6,0,1,0,31,3.709,0,0,0,0,0,31,SPEED K
,77.42%,19.35%,0.00%,3.23%,0.00%,,,,,,,,,
STLC-101-507,16,8,2,0,0,26,3.538,0,0,0,0,0,26,JONES M
,61.54%,30.77%,7.69%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,132,45,7,3,2,189,3.597,1,0,0,4,0,194,
,69.84%,23.81%,3.70%,1.59%,1.06%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,CENTER FOR ACAD ENHANCEMENT,,,,,,,,,,,,,
DEPARTMENT:,TASP/TSI ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,132,45,7,3,2,189,3.597,1,0,0,4,0,194,
,69.84%,23.81%,3.70%,1.59%,1.06%,,,,,,,,,
COLLEGE TOTAL:,132,45,7,3,2,189,3.597,1,0,0,4,0,194,
,69.84%,23.81%,3.70%,1.59%,1.06%,,,,,,,,,
